transaction_id,user_id,newid,diary_newid,survey_source,payee,amount,date,day_of_week,category,family_size,has_children
md_00163,moneydata_user,MONEYDATA,,moneydata,SEVERN TRENT WATER,43.97,2022-01-06,Thursday,Utilities,,
md_00164,moneydata_user,MONEYDATA,,moneydata,ESAVINGS ACCOUNT,300.0,2022-01-06,Thursday,Savings,,
md_00165,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.71,2022-05-31,Tuesday,Savings,,
md_00166,moneydata_user,MONEYDATA,,moneydata,13TH ELEMENT,35.5,2022-05-30,Monday,Dining Out,,
md_00167,moneydata_user,MONEYDATA,,moneydata,ORIENTAL MART HYDR,16.49,2022-05-30,Monday,Groceries,,
md_00168,moneydata_user,MONEYDATA,,moneydata,IZ *WHITE ROSE TRA,12.0,2022-05-30,Monday,Clothing,,
md_00169,moneydata_user,MONEYDATA,,moneydata,THE GYM LIMITED,10.0,2022-05-30,Monday,Entertainment,,
md_00170,moneydata_user,MONEYDATA,,moneydata,HUI LAU SHAN,9.8,2022-05-30,Monday,Dining Out,,
md_00171,moneydata_user,MONEYDATA,,moneydata,POUNDLAND LTD 1718,1.5,2022-05-30,Monday,Groceries,,
md_00172,moneydata_user,MONEYDATA,,moneydata,TRADING212UK,1100.0,2022-05-30,Monday,Savings,,
md_00173,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.89,2022-05-30,Monday,Savings,,
md_00174,moneydata_user,MONEYDATA,,moneydata,MISS D WU,26.0,2022-05-30,Monday,Other,,
md_00175,moneydata_user,MONEYDATA,,moneydata,BACHATA SUENO,24.0,2022-05-30,Monday,Entertainment,,
md_00176,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,11.58,2022-05-30,Monday,Groceries,,
md_00177,moneydata_user,MONEYDATA,,moneydata,AMAZON.CO.UK*2G8AO,5.99,2022-05-30,Monday,Household Supplies,,
md_00178,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,55.58,2022-05-27,Friday,Household Supplies,,
md_00179,moneydata_user,MONEYDATA,,moneydata,LIDL GB NOTTINGHAM,31.9,2022-05-27,Friday,Groceries,,
md_00180,moneydata_user,MONEYDATA,,moneydata,UBER   *TRIP,5.06,2022-05-27,Friday,Travel,,
md_00181,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.03,2022-05-27,Friday,Savings,,
md_00182,moneydata_user,MONEYDATA,,moneydata,LNK TESCO NO RA RD,50.0,2022-05-26,Thursday,Other,,
md_00183,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,6.47,2022-05-26,Thursday,Groceries,,
md_00184,moneydata_user,MONEYDATA,,moneydata,CAFE TERRAZZO,2.5,2022-05-26,Thursday,Dining Out,,
md_00185,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.53,2022-05-26,Thursday,Savings,,
md_00186,moneydata_user,MONEYDATA,,moneydata,LIDL GB NOTTINGHAM,16.83,2022-05-25,Wednesday,Groceries,,
md_00187,moneydata_user,MONEYDATA,,moneydata,AMZNMKTPLACE,6.99,2022-05-25,Wednesday,Household Supplies,,
md_00188,moneydata_user,MONEYDATA,,moneydata,CAFE TERRAZZO,2.65,2022-05-25,Wednesday,Dining Out,,
md_00189,moneydata_user,MONEYDATA,,moneydata,TRADING212UK,200.0,2022-05-25,Wednesday,Savings,,
md_00190,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.71,2022-05-25,Wednesday,Savings,,
md_00191,moneydata_user,MONEYDATA,,moneydata,LIDL GB  NOTTINGHA,5.3,2022-05-24,Tuesday,Groceries,,
md_00192,moneydata_user,MONEYDATA,,moneydata,AUDIBLE UK,7.99,2022-05-24,Tuesday,Entertainment,,
md_00193,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,0.31,2022-05-24,Tuesday,Savings,,
md_00194,moneydata_user,MONEYDATA,,moneydata,POUNDLAND LTD 1726,16.0,2022-05-23,Monday,Groceries,,
md_00195,moneydata_user,MONEYDATA,,moneydata,TESCO STORE 2960,15.69,2022-05-23,Monday,Groceries,,
md_00196,moneydata_user,MONEYDATA,,moneydata,ALADDINS BIKES,120.0,2022-05-23,Monday,Clothing,,
md_00197,moneydata_user,MONEYDATA,,moneydata,SAVE THE CHANGE,1.37,2022-05-23,Monday,Savings,,
md_00198,moneydata_user,MONEYDATA,,moneydata,IZ *WHITE ROSE TRA,12.5,2022-05-23,Monday,Clothing,,
md_00199,moneydata_user,MONEYDATA,,moneydata,TESCO STORES 6430,2.75,2022-05-23,Monday,Groceries,,
md_00200,moneydata_user,MONEYDATA,,moneydata,LNK SAINSBURYS BAN,40.0,2022-05-23,Monday,Other,,
md_00201,moneydata_user,MONEYDATA,,moneydata,MISS D WU,15.0,2022-05-20,Friday,Other,,
md_00202,moneydata_user,MONEYDATA,,moneydata,KAYA FOOD CENTRE,6.38,2022-05-20,Friday,Groceries,,
md_00203,moneydata_user,MONEYDATA,,moneydata,ALADDINS BIKES,22.0,2022-05-20,Friday,Clothing,,
md_00204,moneydata_user,MONEYDATA,,moneydata,MISS D WU,22.0,2022-05-20,Friday,Other,,
